aalen, aale, aalt, aalte, aalte, aal, aalt, haben, geaalt
schleusen, schleuse, schleust, schleuste, schleuste, schleus, schleust, haben, geschleust
schlichten, schlichte, schlichtet, schlichtete, schlichtete, schlichte, schlichtet, haben, geschlichtet
schlickern, schlickere, schlickert, schlickerte, schlickerte, schlickere, schlickert, haben, geschlickert
schliddern, schliddere, schliddert, schlidderte, schlidderte, schlidder, schliddert, haben, geschliddert
schliefen, schliefe, schleufet, schloff, schlöffe, schleufe, schliefet, sein, geschloffen
schliefen, schliefe, schlieft, schloff, schlöffe, schliefe, schlieft, sein, geschloffen
schlieren, schliere, schliert, schlierte, schlierte, schliere, schliert, haben, geschliert
schließen, schließe, schließt, schloss, schlösse, schließe, schließt, haben, geschlossen
schlingen, schlinge, schlingt, schlang, schlänge, schlinge, schlingt, haben, geschlungen
schlingern, schlingere, schlingert, schlingerte, schlingerte, schlinger, schlingert, haben, geschlingert
schlittern, schlittere, schlittert, schlitterte, schlitterte, schlittere, schlittert, sein, geschlittert
schlitzen, schlitze, schlitzt, schlitzte, schlitzte, schlitz, schlitzt, haben, geschlitzt
schlossern, schlosser, schlossert, schlosserte, schlosserte, schlosser, schlossert, haben, geschlossert
schlottern, schlottere, schlottert, schlotterte, schlotterte, schlottere, schlottert, haben, geschlottert
schlotzen, schlotze, schlotzt, schlotzte, schlotzte, schlotze, schlotzt, haben, geschlotzt
schluchzen, schluchze, schluchzt, schluchzte, schluchzte, schluchz, schluchzt, haben, geschluchzt
schlucken, schlucke, schluckt, schluckte, schluckte, schlucke, schluckt, haben, geschluckt
schludern, schludere, schludert, schluderte, schluderte, schluder, schludert, haben, geschludert
schlummern, schlummere, schlummert, schlummerte, schlummerte, schlummere, schlummert, haben, geschlummert
schlupfen, schlupfe, schlupft, schlupfte, schlupfte, schlupfe, schlupft, sein, geschlupft
schlurfen, schlurfe, schlurft, schlurfte, schlurfte, schlurfe, schlurft, sein, geschlurft
schlussfolgern, schlussfolgere, schlussfolgert, schlussfolgerte, schlussfolgerte, schlussfolgere, schlussfolgert, haben, geschlussfolgert
schlägern, schlägere, schlägert, schlägerte, schlägerte, schlägere, schlägert, haben, geschlägert
schlämmen, schlämme, schlämmt, schlämmte, schlämmte, schlämm, schlämmt, haben, geschlämmt
schlängeln, schlängele, schlängelt, schlängelte, schlängelte, schlängel, schlängelt, haben, geschlängelt
schlüpfen, schlüpfe, schlüpft, schlüpfte, schlüpfte, schlüpfe, schlüpft, sein, geschlüpft
schlürfen, schlürfe, schlürft, schlürfte, schlürfte, schlürfe, schlürft, haben, geschlürft
schmachten, schmachte, schmachtet, schmachtete, schmachtete, schmacht, schmachtet, haben, geschmachtet
schmadern, schmadere, schmadert, schmaderte, schmaderte, schmadere, schmadert, haben, geschmadert
schmalten, schmalte, schmaltet, schmaltete, schmaltete, schmalt, schmaltet, haben, geschmaltet
schmarotzen, schmarotze, schmarotzt, schmarotzte, schmarotzte, schmarotze, schmarotzt, haben, schmarotzt
schmatzen, schmatze, schmatzt, schmatzte, schmatzte, schmatz, schmatzt, haben, geschmatzt
schmauchen, schmauche, schmaucht, schmauchte, schmauchte, schmauch, schmaucht, haben, geschmaucht
schmausen, schmause, schmaust, schmauste, schmauste, schmaus, schmaust, haben, geschmaust
schmecken, schmecke, schmeckt, schmeckte, schmeckte, schmecke, schmeckt, haben, geschmeckt
schmeicheln, schmeichle, schmeichelt, schmeichelte, schmeichelte, schmeichle, schmeichelt, haben, geschmeichelt
schmeißen, schmeiße, schmeißt, schmiss, schmisse, schmeiß, schmeißt, haben, geschmissen
schmelzen, schmelze, schmilzt, schmolz, schmölze, schmilz, schmelzt, sein, geschmolzen
schmerzen, schmerze, schmerzt, schmerzte, schmerzte, schmerz, schmerzt, haben, geschmerzt
schmettern, schmettere, schmettert, schmetterte, schmetterte, schmetter, schmettert, haben, geschmettert
schmieden, schmiede, schmiedet, schmiedete, schmiedete, schmiede, schmiedet, haben, geschmiedet
schmiegen, schmiege, schmiegt, schmiegte, schmiegte, schmieg, schmiegt, haben, geschmiegt
schmieren, schmiere, schmiert, schmierte, schmierte, schmiere, schmiert, haben, geschmiert
schminken, schminke, schminkt, schminkte, schminkte, schmink, schminkt, haben, geschminkt
schmirgeln, schmirgle, schmirgelt, schmirgelte, schmirgelte, schmirgel, schmirgelt, haben, geschmirgelt
schmitzen, —, schmitzt, schmitzte, schmitzte, —, —, haben, geschmitzt
schmoken, schmoke, schmokt, schmokte, schmokte, schmoke, schmokt, haben, geschmokt
schmollen, schmolle, schmollt, schmollte, schmollte, schmolle, schmollt, haben, geschmollt
schmollieren, schmolliere, schmolliert, schmollierte, schmollierte, schmollier, schmolliert, haben, schmolliert
schmoren, schmore, schmort, schmorte, schmorte, schmore, schmort, haben, geschmort
schmuggeln, schmuggle, schmuggelt, schmuggelte, schmuggelte, schmuggle, schmuggelt, haben, geschmuggelt
schmulen, schmule, schmult, schmulte, schmulte, schmul, schmult, haben, geschmult
schmunzeln, schmunzle, schmunzelt, schmunzelte, schmunzelte, schmunzel, schmunzelt, haben, geschmunzelt
schmurgeln, schmurgele, schmurgelt, schmurgelte, schmurgelte, schmurgel, schmurgelt, haben, geschmurgelt
schmusen, schmuse, schmust, schmuste, schmuste, schmuse, schmust, haben, geschmust
schmutzen, schmutze, schmutzt, schmutzte, schmutzte, schmutz, schmutzt, haben, geschmutzt
schmähen, schmähe, schmäht, schmähte, schmähte, schmähe, schmäht, haben, geschmäht
schmälern, schmälere, schmälert, schmälerte, schmälerte, schmälere, schmälert, haben, geschmälert
schmälzen, schmälze, schmälzt, schmälzte, schmälzte, schmälz, schmälzt, haben, geschmälzt
schmöken, schmöke, schmökt, schmökte, schmökte, schmök, schmökt, haben, geschmökt
schmökern, schmökere, schmökert, schmökerte, schmökerte, schmöker, schmökert, haben, geschmökert
schmücken, schmücke, schmückt, schmückte, schmückte, schmücke, schmückt, haben, geschmückt
schnabulieren, schnabuliere, schnabuliert, schnabulierte, schnabulierte, schnabulier, schnabuliert, haben, schnabuliert
schnackeln, schnackele, schnackelt, schnackelte, schnackelte, schnackel, schnackelt, haben, geschnackelt
schnacken, schnacke, schnackt, schnackte, schnackte, schnack, schnackt, haben, geschnackt
schnackseln, schnacksle, schnackselt, schnackselte, schnackselte, schnacksle, schnackselt, haben, geschnackselt
schnallen, schnalle, schnallt, schnallte, schnallte, schnall, schnallt, haben, geschnallt
schnalzen, schnalze, schnalzt, schnalzte, schnalzte, schnalz, schnalzt, haben, geschnalzt
schnappen, schnappe, schnappt, schnappte, schnappte, schnapp, schnappt, sein, geschnappt
schnarchen, schnarche, schnarcht, schnarchte, schnarchte, schnarche, schnarcht, haben, geschnarcht
schnarren, schnarre, schnarrt, schnarrte, schnarrte, schnarr, schnarrt, haben, geschnarrt
schnattern, schnattere, schnattert, schnatterte, schnatterte, schnatter, schnattert, haben, geschnattert
schnauben, schnaube, schnaubt, schnaubte, schnaubte, schnaub, schnaubt, haben, geschnaubt
schnaufen, schnaufe, schnauft, schnaufte, schnaufte, schnaufe, schnauft, haben, geschnauft
schnauzen, schnauze, schnauzt, schnauzte, schnauzte, schnauz, schnauzt, haben, geschnauzt
schneiben, schneibe, schneibt, schneibte, schneibte, schneibe, schneibt, haben, geschnieben
schneiden, schneide, schneidet, schnitt, schnitte, schneide, schneidet, haben, geschnitten
schneidern, schneidere, schneidert, schneiderte, schneiderte, schneider, schneidert, haben, geschneidert
schneien, schneie, schneit, schneite, schneite, schnei, schneit, haben, geschneit
schnellen, schnelle, schnellt, schnellte, schnellte, schnell, schnellt, haben, geschnellt
schnetzeln, schnetzele, schnetzelt, schnetzelte, schnetzelte, schnetzel, schnetzelt, haben, geschnetzelt
schnibbeln, schnibbel, schnibbelt, schnibbelte, schnibbelte, schnibbel, schnibbelt, haben, geschnibbelt
schnicken, schnicke, schnickt, schnickte, schnickte, schnick, schnickt, haben, geschnickt
schnickern, schnicker, schnickert, schnickerte, schnickerte, schnicker, schnickert, haben, geschnickert
schniegeln, schniegele, schniegelt, schniegelte, schniegelte, schniegel, schniegelt, haben, geschniegelt
schnieseln, –, schnieselt, schnieselte, schnieselte, —, —, haben, geschnieselt
schnippeln, schnipple, schnippelt, schnippelte, schnippelte, schnippel, schnippelt, haben, geschnippelt
schnippen, schnippe, schnippt, schnippte, schnippte, schnipp, schnippt, haben, geschnippt
schnipseln, schnipsel, schnipselt, schnipselte, schnipselte, schnipsel, schnipselt, haben, geschnipselt
schnipsen, schnipse, schnipst, schnipste, schnipste, schnips, schnipst, haben, geschnipst
schnitzeln, schnitzele, schnitzelt, schnitzelte, schnitzelte, schnitzel, schnitzelt, haben, geschnitzelt
schnitzen, schnitze, schnitzt, schnitzte, schnitzte, schnitz, schnitzt, haben, geschnitzt
schnorcheln, schnorchle, schnorchelt, schnorchelte, schnorchelte, schnorchel, schnorchelt, haben, geschnorchelt
schnorren, schnorre, schnorrt, schnorrte, schnorrte, schnorre, schnorrt, haben, geschnorrt
schnucken, schnucke, schnuckt, schnuckte, schnuckte, schnucke, schnuckt, haben, geschnuckt
schnupfen, schnupfe, schnupft, schnupfte, schnupfte, schnupf, schnupft, haben, geschnupft
schnuppern, schnuppere, schnuppert, schnupperte, schnupperte, schnupper, schnuppert, haben, geschnuppert
schnurren, schnurre, schnurrt, schnurrte, schnurrte, schnurre, schnurrt, haben, geschnurrt
schnäbeln, schnäbele, schnäbelt, schnäbelte, schnäbelte, schnäbel, schnäbelt, haben, geschnäbelt
schnäuken, schnäuke, schnäukt, schnäukte, schnäukte, schnäuk, schnäukt, haben, geschnäukt
schnäuzen, schnäuze, schnäuzt, schnäuzte, schnäuzte, schnäuze, schnäuzt, haben, geschnäuzt
schnökern, schnöker, schnökert, schnökerte, schnökerte, schnöker, schnökert, haben, geschnökert
schnörkeln, schnörkele, schnörkelt, schnörkelte, schnörkelte, schnörkel, schnörkelt, haben, geschnörkelt
schnüffeln, schnüffle, schnüffelt, schnüffelte, schnüffelte, schnüffel, schnüffelt, haben, geschnüffelt
schnüren, schnüre, schnürt, schnürte, schnürte, schnüre, schnürt, haben, geschnürt
schocken, schocke, schockt, schockte, schockte, schocke, schockt, haben, geschockt
schockieren, schockiere, schockiert, schockierte, schockierte, schockier, schockiert, haben, schockiert
schokolieren, schokoliere, schokoliert, schokolierte, schokolierte, schokolier, schokoliert, haben, schokoliert
schonen, schone, schont, schonte, schonte, schone, schont, haben, geschont
schoren, schore, schort, schorte, schorte, schore, schort, haben, geschort
schoren, schore, schort, schorte, schorte, schore, schort, haben, geschort
schottern, schotter, schottert, schotterte, schotterte, schotter, schottert, haben, geschottert
schraffen, schraffe, schrafft, schraffte, schraffte, schraff, schrafft, haben, geschrafft
schraffieren, schraffiere, schraffiert, schraffierte, schraffierte, schraffier, schraffiert, haben, schraffiert
schrammeln, schrammle, schrammelt, schrammelte, schrammelte, schrammel, schrammelt, haben, geschrammelt
schrammen, schramme, schrammt, schrammte, schrammte, schramm, schrammt, haben, geschrammt
schrauben, schraube, schraubt, schraubte, schraubte, schraube, schraubt, haben, geschraubt
schrecken, schrecke, schreckt, schreckte, schreckte, schrecke, schreckt, haben, geschreckt
schrecken, schrecke, schrickt, schrak, schräke, schrick, schreckt, sein, geschrocken
schreddern, schreddere, schreddert, schredderte, schredderte, schredder, schreddert, haben, geschreddert
schreiben, schreibe, schreibt, schrieb, schriebe, schreibe, schreibt, haben, geschrieben
schreien, schreie, schreit, schrie, schrie, schreie, schreit, haben, geschrien
schreinern, schreinere, schreinert, schreinerte, schreinerte, schreinere, schreinert, haben, geschreinert
schreiten, schreite, schreitet, schritt, schritte, schreite, schreitet, sein, geschritten
schriftstellern, schriftstellere, schriftstellert, schriftstellerte, schriftstellerte, schriftsteller, schriftstellert, haben, geschriftstellert
schrillen, schrille, schrillt, schrillte, schrillte, schrille, schrillt, haben, geschrillt
schrotten, schrotte, schrottet, schrottete, schrottete, schrotte, schrottet, haben, geschrottet
schrubben, schrubbe, schrubbt, schrubbte, schrubbte, schrubb, schrubbt, haben, geschrubbt
schrumpeln, schrumpele, schrumpelt, schrumpelte, schrumpelte, schrumpel, schrumpelt, sein, geschrumpelt
schrumpfen, schrumpfe, schrumpft, schrumpfte, schrumpfte, schrumpf, schrumpft, sein, geschrumpft
schrämen, schräme, schrämt, schrämte, schrämte, schräm, schrämt, haben, geschrämt
schröpfen, schröpfe, schröpft, schröpfte, schröpfte, schröpf, schröpft, haben, geschröpft
schubbern, schubbere, schubbert, schubberte, schubberte, schubber, schubbert, haben, geschubbert
schubladisieren, schubladisiere, schubladisiert, schubladisierte, schubladisierte, schubladisier, schubladisiert, haben, schubladisiert
schubsen, schubse, schubst, schubste, schubste, schubs, schubst, haben, geschubst
schucken, schucke, schuckt, schuckte, schuckte, schuck, schuckt, haben, geschuckt
schuften, schufte, schuftet, schuftete, schuftete, schufte, schuftet, haben, geschuftet
schulden, schulde, schuldet, schuldete, schuldete, schuld, schuldet, haben, geschuldet
schulen, schule, schult, schulte, schulte, schule, schult, haben, geschult
schulstageln, stagle Schule, stagelt Schule, stagelte Schule, stagelte Schule, stagle Schule, stagelt Schule, haben, Schule gestagelt
schultern, schultere, schultert, schulterte, schulterte, schultere, schultert, haben, geschultert
schummeln, schummle, schummelt, schummelte, schummelte, schummle, schummelt, haben, geschummelt
schunkeln, schunkle, schunkelt, schunkelte, schunkelte, schunkle, schunkelt, haben, geschunkelt
schuppen, schuppe, schuppt, schuppte, schuppte, schupp, schuppt, haben, geschuppt
schuppen, schuppe, schuppt, schuppte, schuppte, schuppe, schuppt, haben, geschuppt
schupsen, schupse, schupst, schupste, schupste, schups, schupst, haben, geschupst
schurigeln, schurigele, schurigelt, schurigelte, schurigelte, schurigele, schurigelt, haben, geschurigelt
schustern, schustere, schustert, schusterte, schusterte, schuster, schustert, haben, geschustert
schwabbeln, schwabbele, schwabbelt, schwabbelte, schwabbelte, schwabbel, schwabbelt, haben, geschwabbelt
schwabbern, schwabbere, schwabbert, schwabberte, schwabberte, schwabber, schwabbert, haben, geschwabbert
schwadronieren, schwadroniere, schwadroniert, schwadronierte, schwadronierte, schwadroniere, schwadroniert, haben, schwadroniert
schwafeln, schwafele, schwafelt, schwafelte, schwafelte, schwafle, schwafelt, haben, geschwafelt
schwalchen, schwalche, schwalcht, schwalchte, schwalchte, schwalch, schwalcht, haben, geschwalcht
schwanen, —, schwant, schwante, schwante, —, —, haben, geschwant
schwanken, schwanke, schwankt, schwankte, schwankte, schwank, schwankt, sein, geschwankt
schwappen, schwappe, schwappt, schwappte, schwappte, schwapp, schwappt, haben, geschwappt
schwarzarbeiten, arbeite schwarz, arbeitet schwarz, arbeitete schwarz, arbeitete schwarz, arbeit schwarz, arbeitet schwarz, haben, schwarzgearbeitet
schwarzfahren, fahre schwarz, fährt schwarz, fuhr schwarz, führe schwarz, fahr schwarz, fahrt schwarz, sein, schwarzgefahren
schwarzhören, höre schwarz, hört schwarz, hörte schwarz, hörte schwarz, hör schwarz, hört schwarz, haben, schwarzgehört
schwarzsehen, sehe schwarz, sieht schwarz, sah schwarz, sähe schwarz, sieh schwarz, seht schwarz, haben, schwarzgesehen
schwatzen, schwatze, schwatzt, schwatzte, schwatzte, schwatz, schwatzt, haben, geschwatzt
schweben, schwebe, schwebt, schwebte, schwebte, schweb, schwebt, sein, geschwebt
schweiben, schweibe, schweibt, schweibte, schweibte, schweibe, schweibt, haben, geschweibt
schweifen, schweife, schweift, schweifte, schweifte, schweif, schweift, sein, geschweift
schweigen, schweige, schweigt, schwieg, schwiege, schweige, schweigt, haben, geschwiegen
schweinigeln, schweinigle, schweinigelt, schweinigelte, schweinigelte, schweinigle, schweinigelt, haben, geschweinigelt
schweißen, schweiße, schweißt, schweißte, schweißte, schweiße, schweißt, haben, geschweißt
schwelen, schwele, schwelt, schwelte, schwelte, schwele, schwelt, haben, geschwelt
schwelgen, schwelge, schwelgt, schwelgte, schwelgte, schwelg, schwelgt, haben, geschwelgt
schwellen, schwelle, schwillt, schwoll, schwölle, schwill, schwellt, sein, geschwollen
schwenken, schwenke, schwenkt, schwenkte, schwenkte, schwenk, schwenkt, haben, geschwenkt
schwerfallen, –, fällt schwer, fiel schwer, fiele schwer, —, —, sein, schwergefallen
schwimmen, schwimme,  schwimmt,  schwamm, schwömme, schwimm, schwimmt, sein, geschwommen
schwindeln, schwindele, schwindelt, schwindelte, schwindelte, schwindele, schwindelt, haben, geschwindelt
schwinden, schwinde, schwindet, schwand, schwände, schwinde, schwindet, sein, geschwunden
schwingen, schwinge, schwingt, schwang, schwänge, schwinge, schwingt, haben, geschwungen
schwirren, schwirre, schwirrt, schwirrte, schwirrte, schwirr, schwirrt, sein, geschwirrt
schwitzen, schwitze, schwitzt, schwitzte, schwitzte, schwitz, schwitzt, haben, geschwitzt
schwofen, schwofe, schwoft, schwofte, schwofte, schwofe, schwoft, haben, geschwoft
schwoien, —, schwoit, schwoite, schwoite, —, —, haben, geschwoit
schwojen, —, schwojt, schwojte, schwojte, —, —, haben, geschwojt
schwurbeln, schwurble, schwurbelt, schwurbelte, schwurbelte, schwurble, schwurbelt, haben, geschwurbelt
schwäbeln, schwäble, schwäbelt, schwäbelte, schwäbelte, schwäble, schwäbelt, haben, geschwäbelt
schwächeln, schwächle, schwächelt, schwächelte, schwächelte, schwächle, schwächelt, haben, geschwächelt
schwächen, schwäche, schwächt, schwächte, schwächte, schwäch, schwächt, haben, geschwächt
schwängern, schwängere, schwängert, schwängerte, schwängerte, schwängere, schwängert, haben, geschwängert
schwänzeln, schwänzle, schwänzelt, schwänzelte, schwänzelte, schwänzel, schwänzelt, haben, geschwänzelt
schwänzen, schwänze, schwänzt, schwänzte, schwänzte, schwänze, schwänzt, haben, geschwänzt
schwären, —, schwiert, schwor, schwöre, —, —, haben, geschworen
schwären, —, schwärt, schwärte, schwärte, —, —, haben, geschwärt
schwärmen, schwärme, schwärmt, schwärmte, schwärmte, schwärme, schwärmt, haben, geschwärmt
schwärzen, schwärze, schwärzt, schwärzte, schwärzte, schwärze, schwärzt, haben, geschwärzt
schwätzen, schwätze, schwätzt, schwätzte, schwätzte, schwätze, schwätzt, haben, geschwätzt
schwören, schwöre, schwört, schwor, schwüre, schwöre, schwört, haben, geschworen
schächten, schächte, schächtet, schächtete, schächtete, schächt, schächtet, haben, geschächtet
schädigen, schädige, schädigt, schädigte, schädigte, schädige, schädigt, haben, geschädigt
schäkern, schäkere, schäkert, schäkerte, schäkerte, schäkere, schäkert, haben, geschäkert
schälen, schäle, schält, schälte, schälte, schäl, schält, haben, geschält
schämen, schäme, schämt, schämte, schämte, schäm, schämt, haben, geschämt
schänden, schände, schändet, schändete, schändete, schände, schändet, haben, geschändet
schären, schäre, schärt, schärte, schärte, schäre, schärt, haben, geschärt
schärfen, schärfe, schärft, schärfte, schärfte, schärfe, schärft, haben, geschärft
schätzen, schätze, schätzt, schätzte, schätzte, schätze, schätzt, haben, geschätzt
schäumen, schäume, schäumt, schäumte, schäumte, schäum, schäumt, haben, geschäumt
schönen, schöne, schönt, schönte, schönte, schöne, schönt, haben, geschönt
schönreden, rede schön, redet schön, redete schön, redete schön, red schön, redet schön, haben, schöngeredet
schöpfen, schöpfe, schöpft, schöpfte, schöpfte, schöpfe, schöpft, haben, geschöpft
schüren, schüre, schürt, schürte, schürte, schüre, schürt, haben, geschürt
schürfen, schürfe, schürft, schürfte, schürfte, schürf, schürft, haben, geschürft
schürzen, schürze, schürzt, schürzte, schürzte, schürz, schürzt, haben, geschürzt
schütteln, schüttle, schüttelt, schüttelte, schüttelte, schüttle, schüttelt, haben, geschüttelt
schütten, schütte, schüttet, schüttete, schüttete, schütt, schüttet, haben, geschüttet
schützen, schütze, schützt, schützte, schützte, schütze, schützt, haben, geschützt
screenen, screene, screent, screente, screente, screene, screent, haben, gescreent
scrollen, scrolle, scrollt, scrollte, scrollte, scroll, scrollt, haben, gescrollt
sedieren, sediere, sediert, sedierte, sedierte, sedier, sediert, haben, sediert
segelfliegen, —, —, —, —, —, —, sein, segelgeflogen
segeln, segle, segelt, segelte, segelte, segle, segelt, haben, gesegelt
segmentieren, segmentiere, segmentiert, segmentierte, segmentierte, segmentiere, segmentiert, haben, segmentiert
segnen, segne, segnet, segnete, segnete, segne, segnet, haben, gesegnet
segregieren, segregiere, segregiert, segregierte, segregierte, segregier, segregiert, haben, segregiert
sehen, sehe, sieht, sah, sähe, siehe, seht, haben, gesehen
sehnen, sehne, sehnt, sehnte, sehnte, sehne, sehnt, haben, gesehnt
seichen, seiche, seicht, seichte, seichte, seich, seicht, haben, geseicht
seiern, seiere, seiert, seierte, seierte, seiere, seiert, haben, geseiert
seifen, seife, seift, seifte, seifte, seif, seift, haben, geseift
seigern, seigere, seigert, seigerte, seigerte, seigere, seigert, haben, geseigert
seihen, seihe, seiht, seihte, seihte, seih, seiht, haben, geseiht
seilen, seile, seilt, seilte, seilte, seil, seilt, haben, geseilt
sekkieren, sekkiere, sekkiert, sekkierte, sekkierte, sekkiere, sekkiert, haben, sekkiert
sekundieren, sekundiere, sekundiert, sekundierte, sekundierte, sekundiere, sekundiert, haben, sekundiert
selchen, selche, selcht, selchte, selchte, selch, selcht, haben, geselcht
selegieren, selegiere, selegiert, selegierte, selegierte, selegiere, selegiert, haben, selegiert
selektieren, selektiere, selektiert, selektierte, selektierte, selektier, selektiert, haben, selektiert
selfien, selfie, selfiet, selfiete, selfiete, selfie, selfiet, haben, geselfiet
senden, sende, sendet, sendete, sendete, sende, sendet, haben, gesendet
sengen, senge, sengt, sengte, sengte, senge, sengt, haben, gesengt
senken, senke, senkt, senkte, senkte, senke, senkt, haben, gesenkt
sennen, senne, sennt, sennte, sennte, senn, sennt, haben, gesennt
sensen, sense, senst, senste, senste, sens, senst, haben, gesenst
sensibilisieren, sensibilisiere, sensibilisiert, sensibilisierte, sensibilisierte, sensibilisier, sensibilisiert, haben, sensibilisiert
separieren, separiere, separiert, separierte, separierte, separiere, separiert, haben, separiert
serbeln, serbele, serbelt, serbelte, serbelte, serbele, serbelt, haben, geserbelt
servieren, serviere, serviert, servierte, servierte, servier, serviert, haben, serviert
setzen, setze, setzt, setzte, setzte, setze, setzt, haben, gesetzt
seufzen, seufze, seufzt, seufzte, seufzte, seufz, seufzt, haben, geseufzt
sexen, sexe, sext, sexte, sexte, sexe, sext, haben, gesext
sezernieren, sezerniere, sezerniert, sezernierte, sezernierte, sezernier, sezerniert, haben, sezerniert
sezieren, seziere, seziert, sezierte, sezierte, seziere, seziert, haben, seziert
shishen, shishe, shisht, shishte, shishte, shish, shisht, haben, geshisht
shoppen, shoppe, shoppt, shoppte, shoppte, shoppe, shoppt, haben, geshoppt
shorten, shorte, shortet, shortete, shortete, shorte, shortet, haben, geshortet
shukan, shuka, shukat, shukate, shukate, shuka, shukat, haben, geshukat
shuttlen, shuttle, shuttlet, shuttlete, shuttlete, shuttle, shuttlet, haben, geshuttlet
sicheln, sichele, sichelt, sichelte, sichelte, sichele, sichelt, haben, gesichelt
sichern, sichere, sichert, sicherte, sicherte, sichere, sichert, haben, gesichert
sicherstellen, stelle sicher, stellt sicher, stellte sicher, stellte sicher, stell sicher, stellt sicher, haben, sichergestellt
sichten, sichte, sichtet, sichtete, sichtete, sichte, sichtet, haben, gesichtet
sicken, sicke, sickt, sickte, sickte, sick, sickt, haben, gesickt
sickern, sickere, sickert, sickerte, sickerte, sickere, sickert, sein, gesickert
siechen, sieche, siecht, siechte, siechte, sieche, siecht, haben, gesiecht
siedeln, siedle, siedelt, siedelte, siedelte, siedle, siedelt, haben, gesiedelt
sieden, siede, siedet, sott, sötte, sied, siedet, haben, gesotten
siegeln, siegele, siegelt, siegelte, siegelte, siegel, siegelt, haben, gesiegelt
siegen, siege, siegt, siegte, siegte, siege, siegt, haben, gesiegt
siezen, sieze, siezt, siezte, siezte, sieze, siezt, haben, gesiezt
signalisieren, signalisiere, signalisiert, signalisierte, signalisierte, signalisiere, signalisiert, haben, signalisiert
signieren, signiere, signiert, signierte, signierte, signiere, signiert, haben, signiert
silieren, siliere, siliert, silierte, silierte, silier, siliert, haben, siliert
silikonieren, silikoniere, silikoniert, silikonierte, silikonierte, silikonier, silikoniert, haben, silikoniert
silikonisieren, silikonisiere, silikonisiert, silikonisierte, silikonisierte, silikonisier, silikonisiert, haben, silikonisiert
simmelieren, simmeliere, simmeliert, simmelierte, simmelierte, simmelier, simmeliert, haben, simmeliert
simplifizieren, simplifiziere, simplifiziert, simplifizierte, simplifizierte, simplifiziere, simplifiziert, haben, simplifiziert
simsen, simse, simst, simste, simste, sims, simst, haben, gesimst
simulieren, simuliere, simuliert, simulierte, simulierte, simuliere, simuliert, haben, simuliert
singen, singe, singt, sang, sänge, singe, singt, haben, gesungen
sinken, sinke, sinkt, sank, sänke, sinke, sinkt, sein, gesunken
sinnen, sinne, sinnt, sann, sänne, sinne, sinnt, haben, gesonnen
sinnieren, sinniere, sinniert, sinnierte, sinnierte, sinnier, sinniert, haben, sinniert
sirren, sirre, sirrt, sirrte, sirrte, sirre, sirrt, haben, gesirrt
sistieren, sistiere, sistiert, sistierte, sistierte, sistiere, sistiert, haben, sistiert
situieren, situiere, situiert, situierte, situierte, situier, situiert, haben, situiert
sitzen, sitze, sitzt, saß, säße, sitz, sitzt, haben, gesessen
skalieren, skaliere, skaliert, skalierte, skalierte, skaliere, skaliert, haben, skaliert
skalpieren, skalpiere, skalpiert, skalpierte, skalpierte, skalpiere, skalpiert, haben, skalpiert
skandalisieren, skandalisiere, skandalisiert, skandalisierte, skandalisierte, skandalisiere, skandalisiert, haben, skandalisiert
skandieren, skandiere, skandiert, skandierte, skandierte, skandiere, skandiert, haben, skandiert
skarifizieren, skarifiziere, skarifiziert, skarifizierte, skarifizierte, skarifiziere, skarifiziert, haben, skarifiziert
skartieren, skartiere, skartiert, skartierte, skartierte, skartier, skartiert, haben, skartiert
skaten, skate, skatet, skatete, skatete, skate, skatet, haben, geskatet
skaten, skate, skatet, skatete, skatete, skate, skatet, haben, geskatet
skizzieren, skizziere, skizziert, skizzierte, skizzierte, skizziere, skizziert, haben, skizziert
skoptisieren, skoptisiere, skoptisiert, skoptisierte, skoptisierte, skoptisiere, skoptisiert, haben, skoptisiert
skypen, skype, skypt, skypte, skypte, skyp, skypt, haben, geskypt
sniffen, sniffe, snifft, sniffte, sniffte, sniff, snifft, haben, gesnifft
snowboarden, snowboarde, snowboardet, snowboardete, snowboardete, snowboard, snowboardet, sein, gesnowboardet
snöben, snöbe, snöbt, snöbte, snöbte, snöb, snöbt, haben, gesnöbt
socken, socke, sockt, sockte, sockte, sock, sockt, sein, gesockt
sohlen, sohle, sohlt, sohlte, sohlte, sohl, sohlt, haben, gesohlt
solidarisieren, solidarisiere, solidarisiert, solidarisierte, solidarisierte, solidarisier, solidarisiert, haben, solidarisiert
sollen, soll, soll, sollte, sollte, —, —, haben, gesollt
sollizitieren, sollizitiere, sollizitiert, sollizitierte, sollizitierte, sollizitiere, sollizitiert, haben, sollizitiert
solmisieren, solmisiere, solmisiert, solmisierte, solmisierte, solmisiere, solmisiert, haben, solmisiert
sondern, sondere, sondert, sonderte, sonderte, sondere, sondert, haben, gesondert
sondieren, sondiere, sondiert, sondierte, sondierte, sondiere, sondiert, haben, sondiert
sonnen, sonne, sonnt, sonnte, sonnte, sonn, sonnt, haben, gesonnt
sonnenbaden, sonnenbade, sonnenbadet, sonnenbadete, sonnenbadete, sonnenbade, sonnenbadet, haben, sonnengebadet
sorgen, sorge, sorgt, sorgte, sorgte, sorg, sorgt, haben, gesorgt
sororisieren, sororisiere, sororisiert, sororisierte, sororisierte, sororisier, sororisiert, haben, sororisiert
sortieren, sortiere, sortiert, sortierte, sortierte, sortiere, sortiert, haben, sortiert
